0.04,-0.18,0.97,0
0.05,-0.18,0.97,0
0.05,-0.20,0.97,0
0.05,-0.20,0.97,0
0.04,-0.22,0.97,0
0.04,-0.26,0.97,0
0.04,-0.26,0.97,0
0.04,-0.25,0.96,0
0.04,-0.24,0.97,0
0.04,-0.24,0.97,0
0.05,-0.22,0.97,0
0.04,-0.19,0.97,0
0.04,-0.20,0.97,0
0.05,-0.18,0.97,0
0.04,-0.20,0.98,0
0.04,-0.19,0.97,0
0.05,-0.23,0.97,0
0.04,-0.22,0.97,0
0.04,-0.25,0.97,0
0.04,-0.24,0.96,0
