"hour","min","second","x_raw","x_kal1","x_kal2","x_kal3","x_kal4","x_kal5","label"
0,0,9,-0.23,-0.22,-0.22,-0.22,-0.22,-0.22,429
0,0,9,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,429
0,0,9,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,429
0,0,9,-0.23,-0.22,-0.22,-0.22,-0.22,-0.22,429
0,0,9,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,429
0,0,9,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,428
0,0,9,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,428
0,0,9,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,424
0,0,9,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,426
0,0,9,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,429
0,0,9,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,430
0,0,9,-0.23,-0.22,-0.22,-0.22,-0.22,-0.22,428
0,0,9,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,429
0,0,9,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,428
0,0,9,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,431
0,0,9,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,428
0,0,9,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,429
0,0,9,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,428
0,0,10,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,429
0,0,10,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,428
0,0,10,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,428
0,0,10,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,429
0,0,10,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,427
0,0,10,-0.23,-0.22,-0.22,-0.22,-0.22,-0.22,428
0,0,10,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,428
0,0,10,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22,428
